The locations of the cars in image swissimage-dop10_2022_2683-1253_0.1_2056.tif

Row 1 of the image:
16, 336
108, 394
257, 355
267, 356
382, 409
411, 415
466, 449
471, 442
662, 494
3280, 82
3280, 75
3452, 225
3453, 207
3875, 361
3877, 372
3884, 389
3884, 401
3889, 418
3900, 413
3983, 234
3944, 107
3908, 115
3959, 103
3965, 97
3937, 142
3946, 136
4241, 361
4185, 353
4252, 372
4321, 466
4343, 466
4383, 468
4394, 471
4337, 462
4282, 126
4299, 122
4265, 122
4362, 93
4370, 93
4383, 89
4486, 29
4010, 412
4016, 409
4794, 188
4773, 149
4762, 140
4600, 6
5178, 71
5178, 66
5191, 112
5184, 112
6141, 86
6170, 98
6140, 10
6158, 26
6144, 15
6170, 28
6423, 207
6430, 214
6460, 226
6474, 235
6974, 264
6962, 263
6941, 251
6915, 236
6902, 229
6911, 236
6814, 262
6983, 309
6982, 307
6978, 306
7179, 144
7176, 144
7443, 233
7269, 446
7269, 461
7146, 425
7618, 275
7778, 316
9449, 419
9738, 462
9749, 463
9985, 33
9965, 28
9967, 12
9991, 11

Row 2 of the image:
330, 705
321, 687
402, 714
396, 730
370, 807
358, 822
383, 757
358, 858
350, 887
390, 910
483, 960
484, 697
480, 697
490, 703
534, 676
530, 665
572, 618
569, 601
570, 606
604, 534
593, 546
640, 512
775, 550
767, 554
794, 541
620, 511
968, 680
1059, 810
1055, 809
1139, 948
1176, 949
1276, 851
1284, 859
1334, 989
1342, 980
1868, 977
1863, 967
2275, 933
2292, 933
2179, 968
2112, 988
2135, 982
2364, 973
2370, 982
2386, 958
2470, 937
2818, 624
2954, 641
2966, 635
2976, 630
2885, 689
2872, 694
2887, 684
2750, 766
2737, 781
2716, 794
2702, 805
2697, 817
3146, 516
3106, 546
3099, 551
3139, 522
3680, 763
3675, 743
3958, 604
3899, 658
3899, 668
4025, 802
4110, 906
4110, 897
4131, 949
4130, 962
4098, 977
4084, 963
4254, 656
4150, 706
4150, 723
4280, 518
4280, 530
4285, 504
4362, 958
4360, 950
4242, 854
4374, 844
4450, 822
4468, 849
4386, 948
4388, 963
4370, 970
4196, 615
4181, 615
7682, 712
7846, 801
7992, 958
7988, 949
8077, 894
8067, 880
8054, 876
8242, 986
8234, 980
8856, 698
8855, 675
8628, 987
8617, 997

Row 3 of the image:
854, 1148
1219, 1091
1051, 1068
1074, 1114
1089, 1096
1083, 1074
1112, 1134
1104, 1112
1048, 1111
1569, 1213
1558, 1217
1562, 1221
1527, 1401
1560, 1386
1894, 1068
1880, 1073
1976, 1034
2019, 1018
2027, 1017
2066, 1006
2759, 1110
2790, 1158
2781, 1148
2814, 1196
2818, 1211
2938, 1257
